"CampaignID","DataAccess","StartDate","EndDate","Notes"
110001081,"Public","2024-03-18","2024-03-18",NA
110001082,"Public","2024-03-20","2024-03-20",NA
110001083,"Public","2024-03-22","2024-03-22",NA
