"X","Obskey","Poskey","Tripkey","Group","Species","Age","Plumage","Sex","Count","Distance","Transect","Behaviour","Association","Direction","Prey","TurbineHeight","Notes"
326154,1100326154,110065009,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
326155,1100326155,110065010,110001052,NA,"5900","A",NA,NA,1,"B",1,NA,"X",NA,NA,NA,NA
326156,1100326156,110065010,110001052,NA,"5900","A",NA,NA,1,"D",1,NA,"X",NA,NA,NA,NA
326157,1100326157,110065010,110001052,NA,"5900","A",NA,NA,2,"1",1,NA,"X",NA,NA,NA,NA
326158,1100326158,110065011,110001052,"1","5900","A",NA,NA,2,"1",0,NA,"X",NA,NA,NA,NA
326159,1100326159,110065011,110001052,"1","5900","A",NA,NA,3,"1",1,NA,"X",NA,NA,NA,NA
326160,1100326160,110065011,110001052,NA,"5900","A",NA,NA,2,"2",0,NA,"X",NA,NA,NA,NA
326161,1100326161,110065011,110001052,NA,"5900",NA,NA,NA,13,"E",0,NA,"X",NA,NA,NA,NA
326162,1100326162,110065011,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326163,1100326163,110065011,110001052,NA,"5900",NA,NA,NA,7,"3",0,NA,"X",NA,NA,NA,NA
326164,1100326164,110065011,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326165,1100326165,110065011,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326166,1100326166,110065011,110001052,NA,"5900","A",NA,NA,2,"B",1,NA,"X",NA,NA,NA,NA
326167,1100326167,110065011,110001052,NA,"5900","A",NA,NA,2,"C",1,NA,"X",NA,NA,NA,NA
326168,1100326168,110065011,110001052,NA,"5900",NA,NA,NA,3,"E",0,NA,"X",NA,NA,NA,NA
326169,1100326169,110065012,110001052,NA,"5900","3",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326170,1100326170,110065012,110001052,NA,"5900",NA,NA,NA,1,"E",0,NA,"X",NA,NA,NA,NA
326171,1100326171,110065012,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
326172,1100326172,110065012,110001052,NA,"5900",NA,NA,NA,2,"E",0,NA,"X",NA,NA,NA,NA
326173,1100326173,110065012,110001052,NA,"5900","A",NA,NA,2,"A",0,"DF","X",NA,NA,NA,NA
326174,1100326174,110065013,110001052,NA,"5900","A",NA,NA,1,"B",1,NA,"X",NA,NA,NA,NA
326175,1100326175,110065013,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326176,1100326176,110065013,110001052,NA,"6020","2",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326177,1100326177,110065014,110001052,NA,"5900","A",NA,NA,1,"2",0,NA,"X",NA,NA,NA,NA
326178,1100326178,110065015,110001052,NA,"6340",NA,NA,NA,1,"E",0,NA,"X",NA,NA,NA,NA
326179,1100326179,110065016,110001052,NA,"6340",NA,"B",NA,1,"D",1,NA,"X",NA,NA,NA,NA
326180,1100326180,110065016,110001052,NA,"5900","A",NA,NA,7,"E",0,NA,"X",NA,NA,NA,NA
326181,1100326181,110065016,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
326182,1100326182,110065017,110001052,NA,"6345",NA,NA,NA,14,"2",0,NA,"X","NE",NA,NA,NA
326183,1100326183,110065017,110001052,NA,"5900","A",NA,NA,1,"2",1,NA,"X",NA,NA,NA,NA
326184,1100326184,110065017,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
326185,1100326185,110065018,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
326186,1100326186,110065018,110001052,NA,"5900",NA,NA,NA,1,"3",0,NA,"X",NA,NA,NA,NA
326187,1100326187,110065019,110001052,NA,"5900","A",NA,NA,3,"C",1,"DF","X",NA,NA,NA,NA
326188,1100326188,110065021,110001052,NA,"6345",NA,NA,NA,4,"2",0,NA,"X",NA,NA,NA,NA
326189,1100326189,110065022,110001052,NA,"5900",NA,NA,NA,6,"D",1,NA,"X",NA,NA,NA,NA
326190,1100326190,110065022,110001052,NA,"5900",NA,NA,NA,1,"B",1,NA,"X",NA,NA,NA,NA
326191,1100326191,110065022,110001052,NA,"5900","A",NA,NA,14,"C",1,NA,"X",NA,NA,NA,NA
326192,1100326192,110065023,110001052,"2","5900","A",NA,NA,3,"D",1,NA,"X",NA,NA,NA,NA
326193,1100326193,110065023,110001052,"2","5900","2",NA,NA,1,"D",1,NA,"X",NA,NA,NA,NA
326194,1100326194,110065023,110001052,NA,"5900","A",NA,NA,1,"1",0,NA,"X",NA,NA,NA,NA
326195,1100326195,110065024,110001052,NA,"5900","A",NA,NA,2,"D",1,NA,"X",NA,NA,NA,NA
326196,1100326196,110065024,110001052,NA,"5900",NA,NA,NA,4,"E",0,NA,"X",NA,NA,NA,NA
326197,1100326197,110065025,110001052,NA,"5900","3",NA,NA,1,"1",1,NA,"X",NA,NA,NA,NA
326198,1100326198,110065026,110001052,NA,"5900",NA,NA,NA,2,"2",1,NA,"X",NA,NA,NA,NA
326199,1100326199,110065027,110001052,NA,"5900","A",NA,NA,1,"2",1,NA,"X",NA,NA,NA,NA
